InitialSticks,ChoicesPerRound,Runtime;
100,10,12.407
100,20,7.529
100,20,8.413;
100,15,10.347;
100,15,10.567;
100,15,10.635;
100,10,13.928;
100,10,14.543;
100,5,24.672;
90,20,8.546;
90,20,8.626;
90,15,10.3;
100,15,11.241;
80,20,7.8;
70,20,6.89;
60,20,5.962;
50,20,5.493;
50,10,7.883;
40,20,4.67;
30,20,4.531;
30,15,4.55;
100,5,25.363;
100,5,7.945;
100,5,12.125;
100,5,11.731;
100,5,11.66;
100,5,11.477;
100,5,10.829;
100,5,10.796;
100,5,10.576;
100,5,10.62;
100,5,11.34;
100,5,12.064;
100,5,10.988;
100,5,11.184;
100,5,10.348;
100,5,10.831;
100,2,21.816;
100,2,10.462;
10,5,0.865;
10,2,1.155;
100,5,5.399;
100,2,10.453;
100,2,16.059;
100,2,14.657;
100,2,14.742;
100,2,14.887;
100,2,14.763;
100,2,14.783;
100,2,14.764;
100,2,14.99;
100,10,12.709;
100,20,45.989;
10,5,16.4;
10,5,19.128;
100,10,12.971;
